year,week_onset,case,Note
2023,1,1,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou/kekkaku-kansenshou19/monkeypox_00001.html
2023,2,3,
2023,3,4,
2023,4,2,
2023,5,0,
2023,6,3,
2023,7,7,
2023,8,3,
2023,9,15,
2023,10,15,
2023,11,19,
2023,12,18,
2023,13,7,
2023,14,2,
2023,15,8,
2023,16,7,
2023,17,10,
2023,18,10,
2023,19,16,
2023,20,6,
2023,21,3,
2023,22,6,
2023,23,1,
2023,24,0,
2023,25,3,
2023,26,2,
2023,27,2,
2023,28,0,
2023,29,0,
2023,30,0,
2023,31,1,
2023,32,2,
2023,33,0,
2023,34,0,
2023,35,1,
2023,36,4,
2023,37,2,
2023,38,1,
2023,39,2,
2023,40,1,
2023,41,3,
2023,42,4,
2023,43,2,
2023,44,2,
2023,45,3,
2023,46,1,
2023,47,1,
2023,48,1,
2023,49,1,
2023,50,1,
2023,51,0,
2023,52,0,
