location,cumsum_2022,cumsum_2023,latest_date_2023,first_report_2023
United Arab Emirates,16.0,0.0,,
Cyprus,5.0,0.0,,
Turkey,12.0,0.0,,
Georgia,2.0,0.0,,
Saudi Arabia,8.0,0.0,,
Jordan,1.0,0.0,,
Qatar,5.0,0.0,,
Iran,1.0,0.0,,
Singapore,19.0,31.0,2023-12-22,2023-01-13
Japan,8.0,224.0,2023-12-24,2023-01-19
India,20.0,7.0,2023-09-27,2023-01-20
Lebanon,24.0,3.0,2023-03-09,2023-01-22
Thailand,12.0,673.0,2023-12-31,2023-02-01
China,6.0,2019.0,2023-12-01,2023-02-04
South Korea,4.0,151.0,2023-11-30,2023-03-14
Bahrain,1.0,1.0,2023-04-16,2023-04-16
Philippines,4.0,5.0,2023-12-15,2023-05-13
Sri Lanka,2.0,2.0,2023-06-08,2023-06-08
Nepal,0.0,1.0,2023-06-16,2023-06-16
Vietnam,2.0,119.0,2023-12-26,2023-07-11
Malaysia,0.0,9.0,2023-11-30,2023-08-17
Laos,0.0,1.0,2023-09-11,2023-09-11
Oman,0.0,3.0,2023-10-30,2023-10-12
Indonesia,1.0,72.0,2023-12-31,2023-10-31
Cambodia,0.0,1.0,2023-12-13,2023-12-13
