Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.14248704663212436
2,AZE,Azerbaijan,10358.074,103581,0.1800518134715026
3,BHR,Bahrain,1472.233,14722,0.18652849740932642
4,BGD,Bangladesh,171186.372,1711864,0.23704663212435234
5,BTN,Bhutan,782.455,7825,0.13212435233160622
6,BRN,Brunei Darussalam,449.002,4490,0.24093264248704663
7,KHM,Cambodia,16767.842,167678,0.29533678756476683
8,CHN,China,1.425887337e6,14258873,0.6256476683937824
9,CYP,Cyprus,1251.488,12515,0.07124352331606218
10,GEO,Georgia,3744.385,37444,0.19430051813471502
11,HKG,"Hong Kong, China",7488.865,74889,0.4261658031088083
12,IND,India,1.417173173e6,14171732,0.31865284974093266
13,IDN,Indonesia,275501.339,2755013,0.35103626943005184
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.22150259067357514
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.20466321243523317
17,KAZ,Kazakhstan,19397.998,193980,0.2266839378238342
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.23704663212435234
20,KGZ,Kyrgyzstan,6630.623,66306,0.1645077720207254
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.2862694300518135
22,LBN,Lebanon,5489.74,54897,0.17487046632124353
23,MYS,Malaysia,33938.222,339382,0.3639896373056995
24,MDV,Maldives,523.787,5238,0.23056994818652848
25,MNG,Mongolia,3398.366,33984,0.29015544041450775
26,MMR,Myanmar,54179.306,541793,0.2979274611398964
27,NPL,Nepal,30547.58,305476,0.23704663212435234
28,OMN,Oman,4576.298,45763,0.21761658031088082
29,PHL,Philippines,115559.009,1155590,0.3898963730569948
30,QAT,Qatar,2695.122,26951,0.19300518134715025
31,SAU,Saudi Arabia,36408.82,364088,0.2551813471502591
32,SGP,Singapore,5975.688,59757,0.36787564766839376
33,LKA,Sri Lanka,21832.143,218321,0.24093264248704663
34,SYR,Syrian Arab Republic,22125.249,221252,0.14766839378238342
35,TWN,"Taiwan, Province of China",23893.394,238934,0.49093264248704666
36,TJK,Tajikistan,9952.787,99528,0.11528497409326424
37,THA,Thailand,71697.03,716970,0.45077720207253885
38,TLS,Timor-Leste,1341.296,13413,0.20595854922279794
39,TUR,Turkey,85341.241,853412,0.30569948186528495
40,ARE,United Arab Emirates,9441.128,94411,0.2849740932642487
41,UZB,Uzbekistan,34627.652,346277,0.21373056994818654
42,VNM,Viet Nam,98186.856,981869,0.43005181347150256
